geneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
DjGI000001_001,0,0,2,6,37,0,38,36,84,1,52,17,94,20,99,84,59,0,5,1,4,3,168,7,73,0,3,0
DjGI000001_002,0,0,0,0,0,2,5,6,0,0,0,0,1,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_006,0,0,0,0,2,0,2,17,0,0,7,3,1,4,10,23,25,0,0,0,0,0,3,0,0,0,0,0
DjGI000001_007,0,0,0,0,0,0,26,0,0,3,15,0,3,0,0,6,0,3,4,3,3,0,28,0,15,0,0,0
DjGI000001_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DjGI000001_009,0,0,0,0,0,0,0,1,0,0,3,0,6,1,1,24,0,0,0,0,0,0,0,3,0,0,0,0
DjGI000001_010,0,0,0,0,0,0,0,0,7,3,9,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9
DjGI000001_011,7,0,0,0,0,4,19,18,6,0,34,20,10,30,28,9,11,0,9,0,0,0,7,0,4,6,4,0
DjGI000001_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_013,0,0,0,14,0,0,0,0,0,1,0,9,0,0,21,8,0,0,0,0,0,0,0,18,0,0,6,0
DjGI000001_014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_016,0,3,0,13,6,0,22,1,13,0,30,33,41,7,23,12,51,1,0,0,8,0,20,0,0,0,16,0
DjGI000001_017,1,1,12,0,9,7,6,1,12,3,2,9,8,0,17,11,5,8,11,3,0,0,0,0,2,9,11,18
DjGI000001_018,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_021,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_022,0,0,0,1,0,0,0,0,0,1,0,2,6,2,1,0,5,0,0,0,0,0,1,3,12,0,0,0
DjGI000001_023,5,0,0,0,18,0,1,6,10,0,4,0,3,11,9,0,17,0,0,7,7,0,0,4,0,0,0,0
DjGI000001_024,2,0,0,0,5,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0
DjGI000001_025,0,0,0,0,0,0,14,0,1,0,16,3,1,0,8,1,17,0,0,0,13,0,1,0,0,0,5,0
DjGI000001_026,0,0,0,3,0,0,0,7,2,0,8,0,41,0,15,14,3,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_027,0,0,0,0,0,0,0,10,3,0,0,1,0,4,6,2,8,0,0,0,0,0,0,0,0,0,0,5
DjGI000001_028,0,0,0,6,2,0,21,12,48,6,46,21,146,8,69,23,20,0,1,0,1,0,17,6,13,0,9,0
DjGI000001_029,0,0,0,0,0,0,42,12,38,5,37,29,104,12,74,84,30,0,0,2,3,0,13,0,1,0,1,5
DjGI000001_030,0,5,15,6,3,0,0,26,34,1,15,35,58,13,65,36,58,0,33,9,24,3,86,13,6,4,0,0
DjGI000001_031,0,4,0,52,53,0,216,121,229,20,269,222,686,117,512,257,260,0,17,24,77,23,324,106,113,16,20,0
DjGI000001_032,0,3,3,10,9,0,42,19,20,4,63,50,79,16,54,31,56,0,14,1,17,3,44,26,37,2,6,0
DjGI000002_001,0,16,13,4,3,2,21,5,2,0,6,8,4,14,1,1,17,10,3,1,8,2,2,0,13,12,11,0
DjGI000002_002,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0
DjGI000002_003,0,1,0,0,22,0,30,17,18,0,49,8,42,34,17,10,22,0,0,0,12,14,0,0,0,0,0,0
DjGI000002_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_006,9,0,0,0,0,0,0,0,15,0,13,18,0,0,0,0,0,14,4,0,0,3,0,0,0,0,0,15
DjGI000002_007,167,196,202,160,184,414,907,267,320,85,426,314,558,351,251,232,371,222,268,220,278,327,120,126,789,603,194,185
DjGI000002_008,15,4,5,19,19,3,1,8,2,4,15,14,18,0,39,7,23,0,20,0,1,10,0,9,14,27,0,0
DjGI000002_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_010,0,0,0,0,0,12,0,0,1,0,2,16,0,0,0,1,0,8,0,0,4,15,0,0,1,1,0,0
DjGI000002_011,9,41,34,39,45,33,54,39,28,22,29,7,75,41,57,36,48,9,26,26,49,29,8,4,28,33,20,19
DjGI000002_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_013,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0
DjGI000002_014,13,6,36,20,28,32,38,13,21,5,41,30,30,26,11,17,22,21,16,7,32,11,31,7,10,13,9,6
DjGI000002_015,14,10,29,4,16,13,52,20,18,7,36,19,26,7,8,20,23,16,13,11,29,13,21,7,12,14,7,11
DjGI000002_016,27,18,37,27,19,27,95,29,16,23,56,63,30,72,7,69,14,10,47,4,22,12,8,26,44,68,22,24
DjGI000002_017,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_018,2,1,6,0,0,8,9,5,21,1,0,2,14,20,5,9,4,8,0,0,0,14,0,0,0,24,7,14
DjGI000002_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_020,57,46,71,26,44,128,304,90,115,27,96,41,171,222,71,79,134,22,122,74,104,70,70,7,156,170,76,62
DjGI000002_021,4,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DjGI000002_023,0,0,7,0,24,2,5,30,19,1,100,53,130,17,125,25,39,0,3,0,11,0,36,0,22,13,9,0
DjGI000003_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_002,0,0,11,0,0,0,14,23,64,9,31,45,22,24,24,72,116,0,5,17,6,13,15,4,22,0,0,0
DjGI000003_003,0,14,0,0,50,8,41,103,150,2,36,62,67,31,96,119,149,2,39,37,39,17,32,10,56,22,8,0
DjGI000003_004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
DjGI000003_005,0,0,0,0,58,0,76,151,156,1,114,87,108,86,120,96,256,0,54,29,44,20,58,0,70,0,0,1
DjGI000003_006,0,0,0,0,5,0,38,14,0,0,12,9,7,13,0,35,8,0,1,0,0,0,0,0,0,0,0,0
DjGI000003_007,0,0,0,0,79,0,143,214,219,10,114,180,159,74,295,181,420,0,127,52,133,60,52,34,49,1,11,0
DjGI000003_008,0,0,0,10,30,1,59,61,113,0,65,40,116,16,66,47,145,0,9,33,7,24,47,0,69,0,0,0
DjGI000003_009,0,0,0,0,12,0,24,9,8,3,5,66,63,16,28,8,51,0,8,1,0,0,12,9,0,0,0,0
DjGI000003_010,0,0,0,0,0,0,0,10,3,1,5,13,5,0,8,17,50,0,16,10,1,4,0,0,1,0,0,0
