GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ENSDARG00000000018,0,0,1.089038,2.091866,3.107149,8.513204,1.64282,0,4.40298,3.579869,7.771421,0,5.826657,6.250269,13.289926,15.757972,32.701572,55.742859,67.761864,93.919006,75.286354,65.611443,44.244068,54.652382,73.409325,58.085575,69.223984,65.608017,55.243027,49.780685,49.716145,37.378147,32.46664,15.773289,19.981567,14.719429,4.976209,3.643755,1.112355,2.655213,2.513564,4.464584,0.386597,1.80525,1.027853,2.587613,0.462615,0,0.503906,0
ENSDARG00000000019,1.272823,2.933369,1.089038,0,3.107149,0,0.547607,4.860855,4.40298,3.579869,7.771421,12.717024,2.656151,2.574785,3.08052,8.503922,20.228464,39.144573,36.66713,42.265194,39.35807,48.341637,42.264969,35.219975,34.28796,29.702457,45.447411,42.370796,32.964527,48.052315,46.073933,40.292236,23.583906,30.711529,21.928379,21.115408,17.813805,15.174603,6.270699,5.31718,2.871614,1.810683,1.15979,0.545596,0.513927,0.636326,2.609958,1.22368,0,2.603673
ENSDARG00000000068,0,2.933369,1.089038,1.045933,1.553575,2.837734,1.095213,2.916513,0.880596,7.159738,3.88571,0,3.963133,4.705398,20.414358,20.188677,23.331522,32.938713,37.32745,49.00462,48.435928,39.088451,41.166351,41.875011,32.771618,34.275974,38.655525,46.063454,40.41967,43.284454,40.311077,27.705198,22.627476,21.269039,7.699801,10.397717,5.763094,0.592846,0.368453,1.470353,0,0.458017,1.546386,1.091193,0.715019,0.636326,0.462615,0,0,0.867891
ENSDARG00000000069,1.272823,4.400054,2.178075,4.183731,3.107149,0,2.190426,1.944342,3.522384,2.147922,3.88571,25.434048,6.104928,9.552366,8.18411,9.218895,25.465532,35.157661,49.498566,61.580654,60.320847,55.339565,53.674267,53.921005,58.105862,49.314316,53.75819,40.276535,49.501854,67.561798,64.013573,66.997971,41.551441,43.803516,28.231899,35.099506,22.007278,24.334688,9.834736,16.948322,2.512534,9.810917,1.546386,5.415749,4.71469,9.650662,2.040335,4.587609,5.327171,2.603673
ENSDARG00000000086,0,0.733342,0,1.045933,0,0,0,0,0,0,0,0,0,0,0.616104,0.6967,2.112263,0.876624,4.922231,1.942199,6.511782,6.504618,5.758392,2.637095,3.569445,5.127011,2.787383,2.728493,4.331431,2.441735,4.638596,1.62507,1.706263,2.27044,0.99094,1.13716,2.066706,0.455469,0.814896,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000000103,0,0,1.089038,0,0,0,0,0.972171,0.880596,0,0,0,1.585253,0.514957,2.200053,1.161166,5.000685,5.791481,15.494293,12.435256,17.986631,14.973334,6.36728,5.276896,18.181646,11.631269,10.281208,8.915324,13.823189,11.690773,10.596442,8.658014,6.829507,3.31204,3.097972,2.481998,3.100059,1.366408,1.480808,0,0,0.458017,0,0,0,0.636326,0,0,0,0.867891
ENSDARG00000000142,0,0.733342,2.178075,0,1.553575,0,0.547607,0,0,1.431948,1.942855,0,3.212694,1.029914,2.464416,1.625632,4.352459,6.066117,6.975466,9.218435,9.363837,10.522499,6.369982,9.915851,13.639699,9.887138,6.701515,14.721982,10.275378,7.977018,12.87549,8.100856,7.067809,2.825962,4.644453,2.478617,3.616819,1.778539,2.309695,0.332261,0,0,0,0,0,1.293806,0,0,0,0
ENSDARG00000000183,0,0,0,0,0,0,0.547607,0.972171,0.880596,0,0,0,1.585253,0,0,0,3.33968,0.563345,4.581598,1.804878,1.563806,3.687861,2.748558,2.937181,4.758098,2.170509,2.786593,3.350211,2.306092,3.003166,0.612226,2.829961,0.909364,2.092962,0.99094,0.309827,1.224244,0.592846,0,0,0.598124,1.374052,0,0.545596,0,0,0.65249,0,0.983835,0
ENSDARG00000000212,0,4.400054,2.178075,0,1.553575,11.350938,15.880591,6.805197,24.656689,31.502848,58.285656,25.434048,65.442398,107.509239,310.973907,414.732666,611.614014,576.262085,773.953369,1058.639526,863.079102,751.381165,738.278931,628.872009,775.156555,625.336304,648.220642,553.424316,694.001709,682.520081,510.108429,343.958618,281.150085,289.867188,286.556366,179.599869,132.238144,43.010345,12.626889,10.86633,2.034446,10.517292,7.345334,9.363168,11.663786,11.517333,14.637955,6.581444,7.726816,12.993136
ENSDARG00000000229,0,2.933369,0,0,0,0,0,0,0.880596,0,0,0,0,0,1.848312,1.054186,3.365219,8.160036,7.79283,8.050354,10.803873,7.565874,10.822453,6.15539,7.463042,2.399783,4.919433,8.989178,6.573876,3.931951,2.592577,0.54169,3.776011,1.846039,2.96781,1.446987,0.584249,0,0,0,0.359081,0,0,0,0,0,0,0,0,0.867891
ENSDARG00000000394,0,1.466685,0,1.045933,1.553575,0,1.095213,1.944342,0.880596,1.431948,0,12.717024,6.939743,11.612194,5.544936,12.827646,32.166878,57.89502,66.768051,55.77792,65.258224,59.126877,50.325817,61.70562,60.965157,75.44146,63.42548,69.590782,67.199348,52.822388,54.050117,34.837917,25.831593,37.499577,21.538069,18.415586,9.82885,12.807916,5.250324,4.172334,5.146134,0.458017,2.922538,1.259653,1.027853,0.636326,0.925231,2.296185,2.423621,0.867891
ENSDARG00000000442,0,0,1.089038,0,0,0,1.095213,0.972171,0.880596,1.431948,1.942855,0,3.170506,4.190441,2.816157,6.77131,15.231332,15.732157,32.467319,34.83918,41.135471,34.539886,19.992266,31.87982,30.814505,25.865856,41.87088,18.475807,28.026405,30.3577,25.854176,15.507444,13.537636,11.101288,17.211592,8.25156,6.132796,2.870193,2.295704,2.36972,2.617389,1.575225,2.535942,1.97371,1.54178,0.636326,0,1.374855,0.959858,0
ENSDARG00000000476,0,0,0,0,0,0,0,2.916513,0,0,1.942855,0,0.792627,1.029914,2.200053,1.393399,4.184585,5.005462,4.012208,1.917296,4.566247,2.610843,4.44977,2.681716,4.476809,2.020878,5.791368,0.924509,3.633402,3.222193,3.796293,2.440848,2.810739,1.346423,1.841699,0.619654,0,1.048316,1.998244,0,0.598124,0,0,0,0,0.636326,0,0,0,0
ENSDARG00000000489,0,0,0,0,0,2.837734,0.547607,0,2.641788,0.715974,3.88571,0,2.141796,0.585742,5.016211,2.322332,10.704178,15.293845,19.599159,21.669609,16.671764,23.172928,22.608618,24.859236,13.37037,28.214178,17.938643,18.751627,16.522993,13.06704,14.67464,9.557923,7.977173,12.789159,6.491162,3.948235,6.458666,0.910939,0.750898,0,1.301103,0,0,0,1.027853,0,0.65249,0.765395,0,0
