GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
ENSDARG00000000018,0,0.919426,1.302928,0.792939,0.735314,2.622046,3.559291,4.000519,7.573092,4.470338,14.884705,18.211414,13.185998,19.39031,14.95341,14.941163,8.964568,19.499823,17.345293,15.388466,14.153343,29.06815,6.624155,27.89711,25.831785,19.451197,21.74802,20.275576,20.564026,25.674528,45.43988,18.425079,19.368284,35.800354,20.4652,14.002563,20.527052,20.216156,10.170604,19.279274,14.312508,22.510658,28.476568,32.888149,25.634825,20.765675,13.21784,2.783871,1.6674,0,2.878117,0,0.513884,0,0,0
ENSDARG00000000019,0.888376,0,0.651464,0,0,0.874016,0,3.200415,2.271928,0,4.252773,5.008139,3.296499,7.756124,22.430115,8.854022,11.205709,8.357066,18.790733,15.388466,15.225573,20.5502,11.66433,13.787361,16.134701,11.233158,18.723892,13.487261,16.855188,21.523048,23.371334,10.201219,13.996901,17.025734,9.888206,20.983324,10.575798,15.070086,9.641212,13.736904,15.775512,20.418612,24.758553,21.825716,13.522353,8.154339,9.36242,1.391936,0.8337,0,0,0,0,0,0,0
ENSDARG00000000068,0,0,0,0,2.941255,6.118108,1.423716,5.600727,3.029237,6.705508,10.631932,10.926848,11.537748,8.725639,8.411293,15.494539,12.326281,19.499823,14.454411,23.595648,15.289921,20.108227,13.872381,31.702995,27.344498,15.853566,13.72592,17.859571,19.757326,21.697727,19.37351,22.588293,20.473866,15.052602,18.078531,21.495649,19.525644,24.409746,16.039824,19.510674,21.30999,19.640345,10.604761,24.196899,24.29969,30.301443,23.144304,4.175807,0,0,0,0,0,0,0,0
ENSDARG00000000069,0,0,0,0,0.735314,1.748031,2.135575,6.400831,2.271928,2.235169,5.315966,15.024417,11.537748,17.451279,18.691763,16.047916,11.205709,25.071199,15.177131,19.492056,26.633995,40.235634,53.169529,28.336988,26.065832,35.450874,31.369923,34.052059,27.388136,30.081226,32.054161,29.145861,31.943251,39.01416,24.444334,27.511642,21.854095,26.92346,14.947914,25.816204,23.186954,26.176069,34.423309,35.155857,19.439728,18.537176,23.95701,2.783871,0.8337,0,0,0,1.027768,0,0,0
ENSDARG00000000103,0,0,0,0,0,0,0.711858,3.200415,0,2.235169,2.126386,3.186997,4.120624,1.939031,2.803764,4.980388,5.602855,2.785689,4.336323,2.051795,5.296795,7.441793,2.944069,4.978894,4.717965,3.37943,8.3391,6.573158,3.754684,5.011271,3.34643,2.888692,2.148553,4.932832,4.508602,5.683306,5.954093,5.587388,4.629711,5.67365,0.731502,4.460022,4.943244,6.164351,8.155077,4.855297,3.504691,0,0.8337,0,0,0,0,0,0,0
ENSDARG00000000142,0,0,0,0,0,0.874016,0,0,1.514618,0,0,0,0.824125,0.969516,3.738353,3.873635,7.843997,4.178533,3.613603,6.155386,4.160217,2.318055,2.208052,4.591839,5.708367,2.60146,6.553362,4.179496,3.384174,5.011271,4.015716,2.784444,6.635141,1.973133,4.635246,0.422506,4.62705,5.861267,3.035142,3.515446,0.731502,3.762512,4.077152,4.800244,6.09361,2.96292,3.992835,0,0,0,0,0,0,0,0,0
ENSDARG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969516,1.869176,0,0,2.785689,0.722721,1.025898,2.144458,1.131404,7.984243,0.77411,0.495201,2.747571,0.936195,0.65955,1.770774,3.372227,0,2.940816,0.537138,9.641416,2.860568,0.714156,1.394307,0.833838,0.455591,0,0.731502,1.670465,0.528122,1.145379,2.152259,1.28231,1.952576,0,0,0,0,0,0,0,0,0
ENSDARG00000000212,0.888376,1.838852,2.605856,5.550575,11.029708,1.748031,7.83044,31.20405,25.748514,61.467155,139.278305,152.065308,394.755798,380.050079,486.92041,320.404938,451.590118,477.745636,323.056061,361.115997,465.04306,607.630066,489.437317,540.980957,632.542603,550.980652,438.356812,394.080322,389.479767,591.642761,638.237732,481.103394,597.97821,751.433289,453.42746,581.570251,360.911743,384.977386,377.775543,401.029022,481.130615,457.820892,410.745819,426.90567,469.870209,708.040588,676.393433,83.516136,33.347996,23.105715,0.959372,0,5.138839,0,0,0
ENSDARG00000000229,0,0,0,0,0.735314,0,0.711858,0,1.514618,0,4.252773,1.365856,1.64825,2.908547,3.738353,1.106753,2.241142,0,3.613603,1.025898,3.152337,3.127571,0,2.56276,7.455126,1.045519,0.777695,3.616354,1.826537,3.197548,14.019223,3.48728,4.676068,4.200372,3.731569,0.845011,2.344485,2.918434,3.363469,1.526323,1.463005,1.297435,2.471622,4.725456,4.843919,3.299042,3.104229,0,0.8337,0,0,0,0,0,0,0
ENSDARG00000000394,0.888376,0.919426,0.651464,3.964697,2.941255,5.244093,2.847433,4.800623,6.815783,12.293431,6.379159,18.6667,7.417124,16.481764,15.887998,18.814798,36.978844,20.892666,18.068012,27.699238,24.682585,35.866165,40.881126,38.629009,36.987366,27.20816,32.147617,24.43273,37.789722,34.058025,33.410625,28.964266,24.929148,39.74662,28.313993,26.535776,31.86727,20.776114,18.110321,28.66861,37.499462,34.949978,31.972851,37.786232,38.356098,36.065987,43.383308,8.351614,0,0,0,0,0,0,0,0
ENSDARG00000000442,0,0,0,1.585879,3.676569,2.622046,3.559291,2.400311,3.029237,2.235169,6.379159,6.373995,4.944749,8.725639,5.607529,12.174281,10.085139,13.928444,8.672647,9.233079,9.049596,14.552108,16.080433,14.256375,6.69877,8.631698,5.069821,8.381334,10.208284,8.383497,12.029256,6.818187,9.320832,28.894388,12.748774,6.659173,8.107473,9.482699,8.904363,5.87389,4.389015,13.185378,11.75608,15.667001,15.856195,7.693861,8.736861,1.391936,1.6674,0,0,0,0,0,0,0
ENSDARG00000000489,0,0,0,0.792939,1.470628,0.874016,0.711858,0,2.271928,4.470338,1.063193,2.731712,4.944749,0.969516,2.803764,11.620904,6.723426,4.178533,5.781764,7.181284,8.191736,12.565532,50.849529,7.541655,6.69877,10.698061,12.646029,9.063227,10.949305,7.604245,16.027081,11.788486,9.889275,9.133204,6.718781,8.670785,9.124916,4.884389,8.549303,12.24174,8.460487,9.64976,9.432279,11.304214,11.199207,8.366105,8.561497,0,0.8337,0,0,0,0,0,0,0
ENSDARG00000000529,0,0,0,0,0,1.748031,0.711858,1.600208,0,0,0,0.455285,0,0,0,4.427011,2.241142,0,2.890882,1.025898,2.144458,2.805683,0,2.269508,1.485603,2.091038,4.061778,1.97865,0.750937,3.627444,14.019223,0,3.759968,5.919398,2.166057,3.118334,3.227398,2.513714,1.795632,1.294922,2.194507,3.713961,5.492531,3.752704,3.674324,5.129241,2.440721,0,0,0,0,0,0,0,0,0
ENSDARG00000000540,0,0,0,1.585879,0,0.874016,0.711858,0.800104,0,2.235169,0,1.821141,1.64825,0.969516,0,2.766882,4.482284,2.785689,2.890882,9.233079,2.616223,2.750437,0.736017,4.591839,1.485603,1.313067,4.450625,1.637704,3.439937,1.988401,2.007858,3.98162,2.685692,0.986566,3.08118,9.676591,3.800712,6.290386,2.93461,3.183925,0.731502,6.065591,7.267045,3.775755,4.29917,4.917474,3.417009,0,0,0,0,1.410929,0,0,0,0
ENSDARG00000000542,0,0,0,0,0,0,0.711858,0,0.757309,0,3.18958,3.186997,3.296499,6.786609,2.803764,3.320258,1.120571,5.571378,4.336323,10.258977,8.920897,6.199896,1.472034,7.875886,5.708367,3.257993,5.069821,6.032357,6.007494,4.406696,2.007858,6.271723,6.098002,7.160071,5.677014,0.422506,6.398222,1.810716,2.251224,3.915927,2.194507,9.909344,6.643849,3.580077,5.287181,2.290676,7.009382,1.391936,0,0,0.959372,0,0,0,0,0
ENSDARG00000000551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969516,0.934588,0.553376,0,0,0,0,0,0.809516,7.984243,1.401595,0,0.388985,0.388847,0,0.2689,0.604574,0,0.598588,5.750345,1.973133,1.256656,0,0,0.833838,0.455591,1.526323,0,0,0.623197,1.145379,0,0.946188,0.488144,0,0,0,0,0,0,0,0,0
ENSDARG00000000567,0,0,0,0,0,1.748031,4.983007,6.400831,3.029237,2.235169,5.315966,15.479702,7.417124,7.756124,14.018822,9.407399,32.496559,15.321289,16.622572,8.207182,13.617229,20.062571,56.737667,16.297298,29.586458,11.062372,13.812572,21.749846,19.321135,14.174021,14.037113,11.502643,16.872072,16.039169,16.557142,20.691675,10.317429,23.968428,11.838972,18.978912,14.312508,16.720997,22.160273,22.924994,29.490732,18.076698,30.215202,0,0,0.608045,0,0,0,0,0,0
ENSDARG00000000568,0.888376,0.919426,0,0,0,0,0.711858,1.600208,0,0,1.063193,2.731712,4.120624,4.847578,4.672941,3.320258,3.361713,4.178533,10.840808,4.103591,9.864429,4.746603,4.416103,9.277481,3.961609,2.333912,4.220278,7.084577,5.31232,6.999671,4.015716,6.713939,2.875172,9.133204,6.371525,7.111618,5.959438,4.181391,7.611389,5.473409,5.120517,7.201028,5.925577,6.676596,7.076273,5.403185,2.928865,0,0,0,0,0,0,0,0,0
ENSDARG00000000729,0.888376,0.919426,0,0,1.470628,1.748031,0,0,2.271928,2.235169,7.442352,1.821141,3.296499,8.725639,8.411293,7.193893,13.446852,22.285511,2.890882,16.414364,10.59359,12.243643,9.456278,12.426746,14.153895,9.14212,9.750793,13.049908,13.257878,11.930404,6.692859,10.747683,7.709417,12.347009,8.537582,7.373329,9.119571,12.008613,8.073376,11.5787,8.778029,10.590509,15.801649,16.495813,9.404767,11.329025,7.98567,2.783871,0,0.608045,0,1.410929,0,0,0,0
ENSDARG00000000760,0,0,0,0,0,0.874016,0,1.600208,0.757309,2.235169,0,1.365856,6.592999,1.939031,0.934588,3.320258,2.241142,0,5.781764,1.025898,1.072229,2.805683,1.472034,7.488831,3.232362,2.358586,0.936195,1.489573,4.190874,1.813722,0.669286,0.546464,1.074277,6.173504,3.466835,3.279129,2.220645,2.370675,4.756975,2.489725,1.463005,5.206083,2.661772,3.533976,2.777104,6.137607,1.464432,0,0.8337,0,0,0,0,0,0,0
ENSDARG00000000779,0.888376,0,1.302928,0.792939,0.735314,0,0.711858,0,4.543855,1.117585,0,1.821141,2.472374,8.725639,4.672941,8.300646,12.326281,5.571378,5.059043,5.129488,8.57783,7.064659,0.736017,15.857419,11.182689,10.090876,8.901251,13.464919,12.247958,12.534978,23.371334,11.398395,11.658866,10.373876,13.437562,11.074963,6.016013,6.564265,10.143872,6.568091,23.186954,12.504213,12.115215,14.665562,9.853377,7.60645,7.009382,0,0,0,0,0,0,0,0,0
ENSDARG00000000830,0,0,0,0,0.735314,0.874016,0,0,0.757309,0,0,0.455285,0.824125,0.969516,0,1.106753,1.120571,1.392844,1.445441,1.025898,4.288915,2.262809,1.472034,4.058157,0.495201,0.388985,0.547347,1.808177,2.25281,3.197548,0,1.092928,0,0.986566,1.55979,2.273323,1.456227,1.393797,0.911182,1.657603,0,1.670465,1.056243,3.11957,2.867896,2.626798,6.120776,1.391936,0,0,0,0,0,0,0,0
ENSDARG00000000853,0,0,0.651464,0,0,4.370078,2.847433,1.600208,6.815783,2.235169,6.379159,8.195136,9.889498,13.573217,10.280469,19.368174,24.652561,15.321289,14.454411,11.284875,13.081115,25.61869,37.825111,24.319811,35.790028,14.466476,17.87435,20.942165,17.337225,18.930075,17.365652,21.001026,22.432938,24.694017,24.538301,23.839949,12.605339,11.853374,12.951219,12.542102,13.581005,22.040525,23.628399,29.503752,14.964323,15.088544,22.580261,5.567742,0,0,0,0,1.027768,0,0,0
ENSDARG00000000857,0.888376,0.919426,1.302928,0.792939,2.941255,2.622046,4.983007,9.601246,4.543855,8.940677,8.505546,15.934987,18.954872,13.573217,15.887998,26.008692,22.411419,23.678356,20.958895,25.647442,21.873314,33.10614,8.096189,45.021343,39.256435,25.45676,33.227509,32.324989,25.2927,23.860807,32.741337,33.700844,47.58287,18.266407,23.193401,37.90239,28.241627,20.943554,21.707981,21.768997,26.430508,34.447155,43.46487,47.409771,33.522873,29.592257,33.144066,2.783871,0.8337,1.21609,0,0,0.513884,0,0,0
ENSDARG00000000887,5.330253,8.274832,19.543921,24.58112,24.265356,35.834637,44.847065,70.409134,69.672447,84.936432,129.709564,150.244171,155.759598,174.512802,167.291275,269.494293,230.837616,296.675873,283.306427,275.966492,290.593414,341.044525,281.239655,439.884918,444.733063,310.395691,304.624664,348.304504,373.100433,364.924286,289.496674,334.171875,385.752594,394.700897,314.543243,383.996399,253.170105,272.755096,286.406891,257.367737,297.636627,310.026306,406.2034,397.902893,387.283325,318.469788,289.076782,38.974197,9.170698,5.472406,0.959372,0,3.597187,0,0,0
ENSDARG00000000943,1.776751,0,0,0.792939,0,1.748031,0.711858,0,0.757309,1.117585,0,1.365856,3.296499,0.969516,0.934588,0,2.241142,5.571378,0.722721,4.103591,1.608343,0.75427,0.736017,1.78865,0,0.77797,1.713889,0.733615,3.384174,0.604574,0,1.092928,0,0.986566,3.251946,1.981672,1.203202,2.096795,0.683387,2.189364,1.463005,1.735361,1.510454,4.190161,3.941351,4.855297,0.976288,0,0,0,0,0,0,0,0,0
ENSDARG00000000972,0,0,0,0,0,0.874016,0,0.800104,0,0,0,0.455285,0.824125,3.878062,1.869176,3.320258,2.241142,2.785689,2.890882,2.051795,1.608343,0.377135,11.66433,2.709386,2.737161,3.79309,1.325042,1.148627,0.8067,3.976801,1.338572,0.546464,2.148553,1.973133,3.251946,4.838295,2.344485,1.679876,2.351755,0.431641,2.92601,3.470722,5.154559,3.240459,1.073455,4.307408,3.992835,0,0,0,0,0,0,0,0,0
ENSDARG00000001057,2.665127,0.919426,0.651464,0,3.676569,3.496062,2.847433,4.800623,10.602329,10.058262,13.821511,22.764267,19.778996,17.451279,23.364702,32.649208,31.375988,29.249733,33.245144,53.34668,32.059486,41.035561,23.440605,44.194408,46.999825,30.974644,25.420952,29.486933,36.520821,52.732883,15.393576,45.593578,34.597637,17.025734,38.108231,24.101658,25.148758,34.345963,24.669323,25.878525,40.743015,43.78878,46.580853,43.760544,44.898319,41.257404,23.731915,0,2.5011,0.608045,0,0,0,0,0,0
ENSDARG00000001129,0.888376,0,0,0,0,0.874016,1.423716,0,0,0,0,1.365856,0.824125,0.969516,2.803764,2.766882,7.843997,4.178533,2.890882,1.025898,1.072229,4.258976,0,4.885091,3.232362,1.823489,2.261237,4.913112,4.246637,6.395097,0.669286,0,1.074277,2.959699,4.899981,3.409984,1.962276,4.884389,1.23951,2.520884,1.463005,4.022096,2.830758,2.826053,2.24305,4.793119,3.417009,1.391936,0,0,0,0,0,0,0,0
ENSDARG00000001162,0,0.919426,0,1.585879,0,0,0.711858,5.600727,6.815783,5.587923,8.505546,10.926848,3.296499,6.786609,13.084233,8.854022,8.964568,12.5356,12.286249,15.388466,9.58571,23.512032,26.896799,21.516621,24.346182,19.986292,13.034877,20.038076,26.023802,17.116352,16.027081,9.160415,10.047451,23.453344,17.643032,19.584953,13.875807,14.081009,17.098606,12.542102,18.38398,19.494207,17.533834,26.625959,28.406582,15.026366,14.106446,0,0,0,0,0,0,0,0,0
ENSDARG00000001169,0,0,0,0,0,0,0,0,0,0,0,0.910571,0,0,0,1.660129,0,2.785689,0,0,0.536114,1.186651,15.968487,1.254968,0,1.434504,0.777695,0.244538,0.5378,0.604574,8.01354,2.185856,3.949449,0.986566,0.650389,2.142467,1.332387,1.953756,1.896164,0.763161,0.731502,0,0.623197,1.364107,0,0.672244,0.488144,0,0,0,0,0,0,0,0,0
ENSDARG00000001210,3.553502,1.838852,2.605856,2.378818,5.147197,13.110232,7.83044,24.803219,8.330401,15.646185,25.516638,29.593548,33.78912,38.780621,38.318111,55.891018,41.461128,50.142399,42.640511,87.201302,48.957752,56.185791,37.312988,85.19857,36.987366,48.627026,43.050148,62.056458,63.351322,55.822689,54.809883,79.319649,57.915371,48.59586,60.380787,82.815483,54.429207,76.601189,47.758018,48.998123,90.774437,79.453094,86.274963,85.673424,73.198067,58.599682,43.696091,9.743549,4.168499,1.824135,0,0,0,0.651616,0,0
ENSDARG00000001220,0,0,0.651464,0,0,0,0.711858,0.800104,0.757309,4.470338,0,2.731712,9.065373,2.908547,2.803764,11.067528,5.602855,12.5356,10.118087,11.284875,2.144458,9.327467,14.608398,8.609017,1.485603,3.914527,9.664142,9.063227,10.152521,6.824992,4.685001,10.096971,3.412311,16.54738,9.623471,5.974957,12.042715,10.067057,7.537589,5.373289,13.263463,5.076291,9.833743,10.377563,9.132393,7.419917,8.386132,0,0,0,0,0,0,0,0,0
ENSDARG00000001241,0,2.758277,0.651464,5.550575,7.353138,9.61417,12.813447,25.603323,15.146184,18.99894,26.57983,45.07325,45.326866,48.475777,42.056465,57.551147,71.716545,82.177818,84.558296,73.864632,71.645897,99.493752,75.986061,107.436478,101.634605,84.10257,77.632309,75.180435,75.041649,113.486305,54.158485,89.028206,78.610023,84.904427,93.539192,79.184822,67.080429,81.865898,62.410732,57.468498,66.028061,91.729927,93.710663,109.462059,102.966515,85.10466,93.662155,6.959678,6.669599,3.648271,0,0,0.513884,0,0,0
ENSDARG00000001244,2.665127,0.919426,3.25732,7.929393,9.55908,3.496062,17.796453,34.404465,33.321606,18.99894,29.769409,76.943222,66.754112,53.323353,83.178345,103.481384,112.057098,123.963158,132.257858,116.952339,100.446053,193.928589,161.316452,160.855545,137.838501,111.30687,152.901917,152.169037,134.861343,148.1353,126.931747,132.017258,83.698006,148.388351,158.075607,135.232758,114.713173,114.887909,93.679733,98.085129,120.766037,149.775116,151.192245,182.507629,152.073212,113.152374,160.564056,18.095163,5.835899,1.21609,0,1.410929,1.027768,0.651616,1.339301,0
ENSDARG00000001249,0,0,0,0,0,0,0.711858,0,0.757309,3.352754,0,0.910571,0,1.939031,0.934588,0.553376,1.120571,0,1.445441,2.051795,1.543994,1.996167,0,2.896992,0,2.480023,0.936195,2.223188,1.501873,5.011271,8.682826,3.98162,2.148553,1.973133,1.256656,4.838295,1.647332,1.953756,1.467305,1.526323,0,4.086991,3.284969,2.630376,5.201737,2.900743,1.464432,0,0,0,0,0,0,0,0,0
ENSDARG00000001285,5.330253,3.677703,3.908784,7.929393,5.882511,12.236217,17.084597,56.807373,18.93273,12.293431,53.15966,75.57737,60.161114,89.195427,71.028694,184.827713,135.589096,139.284439,128.644257,143.625671,58.157368,194.029495,94.38649,167.452774,141.538956,147.294769,176.653397,179.603256,127.29995,163.021637,161.680939,165.225433,135.167725,144.38237,166.051041,122.247093,119.313499,150.700867,104.87484,88.782631,101.140175,171.587769,246.815491,168.733887,151.758179,139.284286,174.594604,11.135485,7.503299,1.21609,0,0,0,0,0.66965,0
ENSDARG00000001313,0,0,0,3.964697,0.735314,0.874016,5.694865,0.800104,3.029237,1.117585,9.568739,6.82928,5.768874,5.817093,9.345881,9.960775,23.53199,18.106977,15.899851,17.440262,7.312554,30.586279,21.856625,27.510056,25.59774,27.06205,17.255156,16.814392,24.207182,37.349716,22.068544,21.885458,21.548141,22.720884,22.107512,17.049919,15.259423,21.311674,16.850475,14.468905,19.115482,18.634701,27.927282,25.261852,22.051292,14.018001,20.364637,1.391936,0,0.608045,0,0,0,0,0,0
ENSDARG00000001414,0,0,0,0,0,0,0,0,0,0,0,1.821141,4.944749,0.969516,0,3.873635,1.120571,2.785689,2.168162,2.051795,2.080109,1.996167,4.416103,3.336871,6.464724,0.77797,6.481514,4.913112,4.830284,1.209148,8.682826,2.290104,0,0.986566,2.860568,2.273323,1.012098,1.810716,4.200851,1.626443,0,3.146243,3.887002,5.577318,6.09361,4.307408,3.592373,0,0,0,0,0,0.513884,0,0,0
ENSDARG00000001447,0,0,0,0,0,0,0,0,0,0,0,0.455285,0.824125,0,1.869176,1.660129,1.120571,1.392844,0,5.129488,1.00788,1.94092,7.984243,0.77411,0.495201,0.656533,2.261237,0.830023,1.288737,1.209148,0,0.546464,0,3.946266,0,0.714156,0.506049,0.833838,1.922896,1.094682,0,1.119092,0.264061,3.217409,1.255038,0,0.976288,1.391936,0,0,0,0,0,0,0,0
