GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ENSDARG00000000018,0,1.933264,1.095181,0,0.616239,0,3.431206,2.59726,5.362754,5.244794,18.905598,16.623707,12.175617,15.615947,15.681157,23.988852,22.896244,27.367214,34.447872,31.774908,31.941572,32.727997,24.340111,26.545942,26.006683,27.42915,34.275215,39.985928,17.27035,24.117998,24.418758,21.194101,21.836187,17.710949,25.393635,44.237423,24.466057,29.312506,27.601564,20.792004,15.451926,8.357785,9.321384,0,0,1.498573,0,0,0
ENSDARG00000000019,0.835691,0,0,0.800764,0.616239,1.387845,1.143735,1.158964,2.544038,8.618996,11.186076,23.596876,21.008148,13.785124,14.175282,15.221689,14.575495,23.094879,16.917385,19.021908,22.287947,15.136785,20.986191,18.816765,23.655352,23.992449,25.374651,26.317528,10.464388,16.69673,17.470753,22.483274,24.959589,22.117659,16.700159,17.950859,25.490133,22.710318,24.460762,13.651754,17.255018,10.714338,8.285675,6.912844,0,0.499524,0,0,0
ENSDARG00000000068,0,0,1.095181,0,0,0,0,2.212673,6.46384,33.051826,15.637406,13.912737,18.556463,15.24287,16.750034,27.010902,23.080675,23.884041,19.087601,16.554216,22.498066,24.459183,20.942036,19.197865,18.414055,20.495531,28.951498,34.09618,15.270839,19.214766,22.221699,22.209595,19.238806,19.437643,18.890108,27.667782,20.390038,20.413134,19.80654,18.105476,19.394392,10.980394,16.57135,4.608562,0,0.999049,0,0,0
ENSDARG00000000069,0,0,0,1.601527,1.848718,1.387845,2.287471,3.376842,15.469345,19.270187,26.942499,33.635223,33.783642,21.404619,42.974773,33.658939,29.576408,63.875217,43.108917,39.139572,28.81303,34.111332,38.317772,54.988667,35.785595,51.935085,37.856514,58.949051,22.810059,31.820293,37.366596,26.9457,36.904682,31.770555,39.288555,26.561008,42.033943,42.355389,37.061691,38.487846,30.903852,21.960789,19.678478,6.912844,0,0.999049,0,0,0
ENSDARG00000000103,0,0,0,0.800764,0,0,2.287471,0.289741,1.718816,0,3.426881,3.605062,3.610034,2.123148,4.964737,3.121819,5.004788,4.870981,8.675661,5.343881,4.469824,9.427693,6.13576,4.322579,5.898516,10.594205,8.284891,9.783334,7.028611,3.444852,3.17767,5.801739,8.393791,5.749429,3.301089,5.437914,5.109542,8.866412,6.933474,3.655075,3.7462,3.37534,2.071419,0,0,0.499524,0,0,0
ENSDARG00000000142,0,0,0,0.800764,0.616239,0,0,0,1.993495,4.431376,4.657852,3.396808,3.356887,4.45787,3.316434,5.86653,6.88349,1.108095,5.97471,5.05794,5.445467,4.822826,3.914122,3.408228,4.830873,3.837772,4.216547,3.435932,2.5522,3.015271,2.142756,7.922645,8.227193,2.149719,1.661731,5.604781,6.027965,2.50947,2.588527,4.85703,4.549612,4.156174,1.035709,2.304281,0,0,0,0.919008,0
ENSDARG00000000212,0.835691,1.933264,1.095181,4.003818,5.546153,5.55138,14.868558,97.610931,271.826691,340.032806,359.933411,404.162537,398.795959,413.903839,605.732117,447.23468,542.388245,474.778259,438.976044,441.992676,461.776093,367.307739,511.7229,449.864563,448.587799,599.3172,653.666626,685.177246,597.516052,396.483429,525.893494,748.57782,446.621002,452.678711,495.794556,515.93457,416.776184,536.810303,549.226379,480.399231,456.223755,344.1362,332.462708,156.691116,70.599915,5.494767,10.241268,4.595041,3.005555
ENSDARG00000000229,0,0,0,0,0,0,0,0,2.060682,1.30093,2.422269,2.681046,3.783399,2.373159,8.831529,5.888338,5.063915,3.540422,4.367484,3.288254,3.41052,4.348146,4.324184,1.574961,3.37378,2.549973,7.219374,2.682643,1.573909,2.121221,3.573301,7.183754,2.952035,5.404986,3.076896,5.55416,5.196418,5.155735,2.525929,2.842134,1.205119,0.633755,1.035709,0,0,0.499524,0,0,0
ENSDARG00000000394,0.835691,3.866527,0,4.804581,1.848718,0,3.431206,0.964069,4.261668,11.505687,13.95372,22.105501,17.98419,19.908436,28.907951,21.072052,24.189302,32.304188,27.787695,28.537088,29.443348,28.803646,33.308353,27.456377,33.839985,16.587635,42.054852,36.90971,54.229378,23.834209,32.56459,45.777306,30.790058,24.543188,26.593599,38.106602,26.839079,29.967392,37.303242,23.896137,22.131739,19.733982,16.57135,5.760703,0,0.499524,0,0,0
ENSDARG00000000442,0.835691,0,0,0,1.232478,2.77569,1.143735,1.25381,2.1998,4.431376,7.592345,7.388451,7.313652,6.831028,9.334487,10.609957,16.406607,13.295035,20.051651,10.763439,11.860008,12.175175,15.472464,14.886703,11.427648,11.709372,13.687845,25.328367,11.877989,11.173829,16.448334,17.89015,14.485914,15.588179,14.306631,17.718369,14.904768,15.331805,14.053595,11.792463,10.967736,4.289202,3.107128,1.152141,10.085702,0.999049,0,0,0
