geneID1,geneID2,cor,pValue,pValueAdjusted
DjGI008464_001,DjGI000478_002,NA,NA,NA
DjGI008464_001,DjGI000478_003,NA,NA,NA
DjGI008464_001,DjGI000478_004,NA,NA,NA
DjGI008464_001,DjGI000494_001,NA,NA,NA
DjGI008464_001,DjGI000508_002,NA,NA,NA
DjGI008464_001,DjGI000510_003,NA,NA,NA
DjGI008464_001,DjGI000510_004,NA,NA,NA
DjGI008464_001,DjGI000515_001,NA,NA,NA
DjGI008464_001,DjGI000515_002,NA,NA,NA
DjGI008464_001,DjGI000515_003,NA,NA,NA
DjGI008464_001,DjGI000515_004,NA,NA,NA
DjGI008464_001,DjGI000515_005,NA,NA,NA
DjGI008464_001,DjGI000515_006,NA,NA,NA
DjGI008464_001,DjGI000518_006,NA,NA,NA
DjGI008464_001,DjGI000527_001,NA,NA,NA
DjGI008464_001,DjGI000527_002,NA,NA,NA
DjGI008464_001,DjGI000527_003,NA,NA,NA
DjGI008464_001,DjGI000527_004,NA,NA,NA
DjGI008464_001,DjGI000527_005,NA,NA,NA
DjGI008464_001,DjGI000527_006,NA,NA,NA
DjGI008464_001,DjGI000528_001,NA,NA,NA
DjGI008464_001,DjGI000528_002,NA,NA,NA
DjGI008464_001,DjGI000528_003,NA,NA,NA
DjGI008464_001,DjGI000528_004,NA,NA,NA
DjGI008464_001,DjGI000528_005,NA,NA,NA
DjGI008464_001,DjGI000528_006,NA,NA,NA
DjGI008464_001,DjGI000531_001,NA,NA,NA
DjGI008464_001,DjGI000531_002,NA,NA,NA
DjGI008464_001,DjGI000531_003,NA,NA,NA
DjGI008464_001,DjGI000531_004,NA,NA,NA
DjGI008464_001,DjGI000531_005,NA,NA,NA
DjGI008464_001,DjGI000531_006,NA,NA,NA
DjGI008464_001,DjGI000532_001,NA,NA,NA
DjGI008464_001,DjGI000532_002,NA,NA,NA
DjGI008464_001,DjGI000538_001,NA,NA,NA
DjGI008464_001,DjGI000538_002,NA,NA,NA
DjGI008464_001,DjGI000538_003,NA,NA,NA
DjGI008464_001,DjGI000539_001,NA,NA,NA
DjGI008464_001,DjGI000539_002,NA,NA,NA
DjGI008464_001,DjGI000539_003,NA,NA,NA
DjGI008464_001,DjGI000540_001,NA,NA,NA
DjGI008464_001,DjGI000540_002,NA,NA,NA
DjGI008464_001,DjGI000540_003,NA,NA,NA
DjGI008464_001,DjGI000540_004,NA,NA,NA
DjGI008464_001,DjGI000540_005,NA,NA,NA
DjGI008464_001,DjGI000540_006,NA,NA,NA
DjGI008464_001,DjGI000543_003,NA,NA,NA
DjGI008464_001,DjGI000546_004,NA,NA,NA
DjGI008464_001,DjGI000550_003,NA,NA,NA
DjGI008464_001,DjGI000551_005,NA,NA,NA
DjGI008464_001,DjGI000556_003,NA,NA,NA
DjGI008464_001,DjGI000556_004,NA,NA,NA
DjGI008464_001,DjGI000560_001,NA,NA,NA
DjGI008464_001,DjGI000560_002,NA,NA,NA
DjGI008464_001,DjGI000561_001,NA,NA,NA
DjGI008464_001,DjGI000561_002,NA,NA,NA
DjGI008464_001,DjGI000565_003,NA,NA,NA
DjGI008464_001,DjGI000566_002,NA,NA,NA
DjGI008464_001,DjGI000567_001,NA,NA,NA
DjGI008464_001,DjGI000567_002,NA,NA,NA
DjGI008464_001,DjGI000567_003,NA,NA,NA
DjGI008464_001,DjGI000570_001,NA,NA,NA
DjGI008464_001,DjGI000573_001,NA,NA,NA
DjGI008464_001,DjGI000574_002,NA,NA,NA
DjGI008464_001,DjGI000574_003,NA,NA,NA
DjGI008464_001,DjGI000576_003,NA,NA,NA
DjGI008464_001,DjGI000576_004,NA,NA,NA
DjGI008464_001,DjGI000576_005,NA,NA,NA
DjGI008464_001,DjGI000578_005,NA,NA,NA
DjGI008464_001,DjGI000579_001,NA,NA,NA
DjGI008464_001,DjGI000579_002,NA,NA,NA
DjGI008464_001,DjGI000580_001,NA,NA,NA
DjGI008464_001,DjGI000580_002,NA,NA,NA
DjGI008464_001,DjGI000580_003,NA,NA,NA
DjGI008464_001,DjGI000581_001,NA,NA,NA
DjGI008464_001,DjGI000581_002,NA,NA,NA
DjGI008464_001,DjGI000581_003,NA,NA,NA
DjGI008464_001,DjGI000581_004,NA,NA,NA
DjGI008464_001,DjGI000581_005,NA,NA,NA
DjGI008464_001,DjGI000582_001,NA,NA,NA
DjGI008464_001,DjGI000582_002,NA,NA,NA
